City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,bundibugyo,0.7414,30.0417,18.71,93,87,0.87,UG,1699932977
117,ribeira do pombal,-10.8344,-38.5358,19.66,91,13,2.03,BR,1699932977
118,sidi yahia el gharb,34.3065,-6.3062,10.37,50,24,0.56,MA,1699932978
119,papatowai,-46.5619,169.4708,15.69,56,59,6.96,NZ,1699932978
120,san patricio,28.017,-97.5169,17.69,88,100,5.22,US,1699932853
121,comodoro rivadavia,-45.8667,-67.5,8.92,29,0,9.26,AR,1699932815
122,shemysheyka,52.892,45.3928,5.58,92,100,4.52,RU,1699932978
123,dawson creek,55.7666,-120.2362,-7.2,86,0,3.09,CA,1699932979
124,laojunmiao,39.8333,97.7333,0.91,33,92,4.39,CN,1699932979
125,mankono,8.0586,-6.1897,22.78,78,1,0.54,CI,1699932979
126,las brenas,-27.0897,-61.0816,20.51,95,100,2.23,AR,1699932980
127,fonte boa,-2.4959,-66.2662,25.11,79,74,0.09,BR,1699932980
128,edd,13.9297,41.6925,29.63,47,85,5.28,ER,1699932980
129,tidjikja,18.5564,-11.4271,23.51,15,5,5.47,MR,1699932980
130,poyang,28.9924,116.6675,12.77,45,0,2.14,CN,1699932981
131,hadibu,12.65,54.0333,26.92,83,76,4.79,YE,1699932981
132,cururupu,-1.8283,-44.8683,24.43,85,7,2.17,BR,1699932981
133,badger,64.8,-147.5333,-3.07,91,100,0.0,US,1699932981
134,dunedin,-45.8742,170.5036,16.0,69,100,1.79,NZ,1699932982
135,damghan,36.1683,54.348,13.42,44,99,1.12,IR,1699932982
136,east ballina,-28.8667,153.5833,27.67,71,40,6.41,AU,1699932982
137,constantia,44.1833,28.65,5.38,62,58,4.16,RO,1699932983
138,st. john's,47.5649,-52.7093,-0.47,83,75,2.57,CA,1699932958
139,abadiania,-16.2042,-48.7069,21.51,40,37,0.35,BR,1699932983
140,el calafate,-50.3408,-72.2768,2.76,63,82,5.25,AR,1699932901
141,pizarro,4.9533,-77.366,25.92,90,19,0.92,CO,1699932984
142,carnarvon,-24.8667,113.6333,22.92,63,92,4.41,AU,1699932984
143,amahai,-3.3333,128.9167,29.62,69,63,3.54,ID,1699932985
144,karratha,-20.7377,116.8463,30.68,34,5,7.68,AU,1699932985
